"","enzyme","temp","pH","activity","lnactivity","revK"
"ph65_35_5","APase",35,6.5,8.42269620136129,2.13092999093509,0.00324517280545189
"ph65_35_6","APase",35,6.5,8.97992038349054,2.1949910162938,0.00324517280545189
"ph65_25_1","APase",25,6.5,11.7856305609612,2.46688104034165,0.00335401643468053
"ph65_25_2","APase",25,6.5,9.86849023238717,2.28934687643469,0.00335401643468053
"ph65_25_3","APase",25,6.5,8.7946135039388,2.17413943224822,0.00335401643468053
"ph65_25_4","APase",25,6.5,8.6126677076918,2.1532341087414,0.00335401643468053
"ph65_25_5","APase",25,6.5,8.60918247901474,2.15282936375908,0.00335401643468053
"ph65_25_6","APase",25,6.5,10.120733076039,2.31458609957956,0.00335401643468053
"ph65_15_1","APase",15,6.5,8.84715588515926,2.18009603846123,0.00347041471455839
"ph65_15_2","APase",15,6.5,12.9659680209091,2.56232808036916,0.00347041471455839
"ph65_15_3","APase",15,6.5,15.8311198252388,2.76197761208825,0.00347041471455839
"ph65_15_4","APase",15,6.5,11.3151590905519,2.42614333913265,0.00347041471455839
"ph65_15_5","APase",15,6.5,10.2590178016989,2.32815710433157,0.00347041471455839
"ph65_15_6","APase",15,6.5,9.54585756574355,2.256107297641,0.00347041471455839
"ph65_5_1","APase",5,6.5,3.36555653791965,1.21359333959053,0.00359518245550962
"ph65_5_2","APase",5,6.5,9.82696797375955,2.28513044037015,0.00359518245550962
"ph65_5_3","APase",5,6.5,7.8236289076798,2.05714850160765,0.00359518245550962
"ph65_5_4","APase",5,6.5,7.53456606987131,2.0195012418165,0.00359518245550962
"ph65_5_5","APase",5,6.5,8.09454803806697,2.09119075333707,0.00359518245550962
"ph65_5_6","APase",5,6.5,8.83401815802904,2.17860996864302,0.00359518245550962
"ph55_35_1","APase",35,5.5,26.2224688978139,3.26661663476516,0.00324517280545189
"ph55_35_2","APase",35,5.5,31.8543957586856,3.46117538689649,0.00324517280545189
"ph55_35_3","APase",35,5.5,25.6640893543235,3.24509271337706,0.00324517280545189
"ph55_35_4","APase",35,5.5,23.1140332667168,3.14043993379756,0.00324517280545189
"ph55_35_5","APase",35,5.5,32.5247168594884,3.48200031904133,0.00324517280545189
"ph55_35_6","APase",35,5.5,21.1452821210456,3.05141681304616,0.00324517280545189
"ph55_25_1","APase",25,5.5,30.47110562572,3.41677887805378,0.00335401643468053
"ph55_25_2","APase",25,5.5,27.7961637333318,3.32489801597049,0.00335401643468053
"ph55_25_3","APase",25,5.5,25.9666485632597,3.25681296702965,0.00335401643468053
"ph55_25_4","APase",25,5.5,24.4376542994558,3.19612515176988,0.00335401643468053
"ph55_25_5","APase",25,5.5,26.4082438291739,3.2736762276639,0.00335401643468053
"ph55_25_6","APase",25,5.5,23.5176380764355,3.15775069606755,0.00335401643468053
"ph55_15_1","APase",15,5.5,26.7783402617868,3.28759336156071,0.00347041471455839
"ph55_15_2","APase",15,5.5,33.5395869379535,3.51272644081397,0.00347041471455839
"ph55_15_3","APase",15,5.5,28.1377155345269,3.33711086624889,0.00347041471455839
"ph55_15_4","APase",15,5.5,17.9305035949858,2.88650337394798,0.00347041471455839
"ph55_15_5","APase",15,5.5,22.0186296827596,3.09188889878409,0.00347041471455839
"ph55_15_6","APase",15,5.5,22.9614015701752,3.13381461358544,0.00347041471455839
"ph55_5_1","APase",5,5.5,16.8162565707441,2.82234607155532,0.00359518245550962
"ph55_5_2","APase",5,5.5,14.059931859154,2.64332903993792,0.00359518245550962
"ph55_5_3","APase",5,5.5,18.2754574997584,2.905559039509,0.00359518245550962
"ph55_5_4","APase",5,5.5,16.8620566655884,2.8250659300445,0.00359518245550962
"ph55_5_5","APase",5,5.5,16.3094003965683,2.79174165302449,0.00359518245550962
